symbol,name,currency,exchange,mic_code,country,type
PRQR,ProQR Therapeutics NV,USD,NASDAQ,XNCM,United States,Common Stock
PSNY,Polestar Automotive Holding UK PLC,USD,NASDAQ,XNMS,United States,American Depositary Receipt
PZZA,Papa John's International Inc,USD,NASDAQ,XNGS,United States,Common Stock
RKLB,"Rocket Lab USA, Inc.",USD,NASDAQ,XNCM,United States,Common Stock
ROIV,Roivant Sciences Ltd.,USD,NASDAQ,XNMS,United States,Common Stock
RVYL,Ryvyl Inc.,USD,NASDAQ,XNCM,United States,Common Stock
SGEN,Seattle Genetics Inc,USD,NASDAQ,XNGS,United States,Common Stock
SGH,SMART Global Holdings Inc,USD,NASDAQ,XNGS,United States,Common Stock
SIEB,Siebert Financial Corp,USD,NASDAQ,XNCM,United States,Common Stock
SOBR,"SOBR Safe, Inc.",USD,NASDAQ,XNCM,United States,Common Stock
STEP,StepStone Group Inc.,USD,NASDAQ,XNGS,United States,Common Stock
STRL,Sterling Construction Co Inc,USD,NASDAQ,XNGS,United States,Common Stock
SVFAU,SVF Investment Corp.,USD,NASDAQ,XNCM,United States,Unit
TALS,"Talaris Therapeutics, Inc.",USD,NASDAQ,XNMS,United States,Common Stock
TBLD,Thornburg Income Builder Opportunities Trust,USD,NASDAQ,XNGS,United States,Common Stock
TCBIO,"Texas Capital Bancshares, Inc.",USD,NASDAQ,XNGS,United States,Common Stock
TMPO,"Tempo Automation Holdings, Inc.",USD,NASDAQ,XNMS,United States,Common Stock
TRIB,Trinity Biotech PLC,USD,NASDAQ,XNGS,United States,Depositary Receipt
UBSI,United Bankshares Inc-WV,USD,NASDAQ,XNGS,United States,Common Stock
VCKAU,Vickers Vantage Corp. I,USD,NASDAQ,XNCM,United States,Unit
VIEW,"View, Inc.",USD,NASDAQ,XNMS,United States,Common Stock
VII,7GC & Co. Holdings Inc.,USD,NASDAQ,XNCM,United States,Common Stock
VRTX,Vertex Pharmaceuticals Inc,USD,NASDAQ,XNGS,United States,Common Stock
WALDW,Waldencast plc,USD,NASDAQ,XNCM,United States,Common Stock
WKSP,Worksport Ltd.,USD,NASDAQ,XNCM,United States,Common Stock
WTFC,Wintrust Financial Corp,USD,NASDAQ,XNGS,United States,Common Stock
